 format: day,hour,forecast,value  location:102_83 Start : 20171201 
 4,2300,+43,293.000000 
 4,2300,+46,275.000000 
 4,2300,+49,265.000000 
 4,2300,+52,268.000000 
 4,2300,+55,272.000000 
 4,2300,+58,264.000000 
 4,2300,+61,345.000000 
 4,2300,+64,323.000000 
 5,0200,+4,299.000000 
 5,0200,+7,281.000000 
 5,0200,+10,264.000000 
 5,0200,+13,247.000000 
 5,0200,+16,246.000000 
 5,0200,+19,276.000000 
 5,0200,+22,283.000000 
 5,0200,+25,285.000000 
 5,0200,+28,277.000000 
 5,0200,+31,210.000000 
 5,0200,+34,294.000000 
 5,0200,+37,302.000000 
 5,0200,+40,293.000000 
 5,0200,+43,275.000000 
 5,0200,+46,265.000000 
 5,0200,+49,268.000000 
 5,0200,+52,272.000000 
 5,0200,+55,264.000000 
 5,0200,+58,345.000000 
 5,0200,+61,323.000000 
 5,0500,+4,281.000000 
 5,0500,+7,264.000000 
 5,0500,+10,247.000000 
 5,0500,+13,246.000000 
 5,0500,+16,276.000000 
 5,0500,+19,283.000000 
 5,0500,+22,285.000000 
 5,0500,+25,277.000000 
 5,0500,+28,210.000000 
 5,0500,+31,294.000000 
 5,0500,+34,302.000000 
 5,0500,+37,293.000000 
 5,0500,+40,275.000000 
 5,0500,+43,265.000000 
 5,0500,+46,268.000000 
 5,0500,+49,272.000000 
 5,0500,+52,264.000000 
 5,0500,+55,345.000000 
 5,0500,+58,323.000000 
 5,0800,+4,315.000000 
 5,0800,+7,239.000000 
 5,0800,+10,270.000000 
 5,0800,+13,294.000000 
 5,0800,+16,263.000000 
 5,0800,+19,265.000000 
 5,0800,+22,291.000000 
 5,0800,+25,284.000000 
 5,0800,+28,298.000000 
 5,0800,+31,297.000000 
 5,0800,+34,275.000000 
 5,0800,+37,305.000000 
 5,0800,+40,262.000000 
 5,0800,+43,252.000000 
 5,0800,+46,265.000000 
 5,0800,+49,225.000000 
 5,0800,+52,343.000000 
 5,0800,+55,322.000000 
 5,1100,+4,239.000000 
 5,1100,+7,270.000000 
 5,1100,+10,294.000000 
 5,1100,+13,263.000000 
 5,1100,+16,265.000000 
 5,1100,+19,291.000000 
 5,1100,+22,284.000000 
 5,1100,+25,298.000000 
 5,1100,+28,297.000000 
 5,1100,+31,275.000000 
 5,1100,+34,305.000000 
 5,1100,+37,262.000000 
 5,1100,+40,252.000000 
 5,1100,+43,265.000000 
 5,1100,+46,225.000000 
 5,1100,+49,343.000000 
 5,1100,+52,322.000000 
 5,1400,+4,270.000000 
 5,1400,+7,294.000000 
 5,1400,+10,263.000000 
 5,1400,+13,265.000000 
